RPM [rpm],Time [ms],brake [NewtonMeter]
0,0,0.000324455
0,1,0.000324418
0,2,0.000323874
0,3,0.00032348
0,4,0.000323542
0,5,0.000323674
0,6,0.000323784
0,7,0.000323874
0,8,0.000323948
0,9,0.000324006
0,10,0.000324055
0,11,0.000324096
0,12,0.000324133
0,13,0.000324164
0,14,0.000324192
0,15,0.000324217
0,16,0.000324239
0,17,0.000324258
0,18,0.000324275
0,19,0.00032429
0,20,0.000324303
0,21,0.000324315
0,22,0.000324326
0,23,0.000324335
0,24,0.000324344
0,25,0.000324352
0,26,0.000324359
0,27,0.000324365
0,28,0.000324371
0,29,0.000324377
0,30,0.000324382
100,0,0.000324455
100,1,0.413605489
100,2,0.577686624
100,3,0.644313948
100,4,0.678774652
100,5,0.696627881
100,6,0.709337747
100,7,0.721663831
100,8,0.706026362
100,9,0.711647204
100,10,0.722209789
100,11,0.726899297
100,12,0.736722529
100,13,0.741659617
100,14,0.729029262
100,15,0.733371485
100,16,0.73860936
100,17,0.732823988
100,18,0.732055492
100,19,0.746353255
100,20,0.753542315
100,21,0.744149018
100,22,0.730750952
100,23,0.74181618
100,24,0.748806574
100,25,0.747773564
100,26,0.748249785
100,27,0.745715652
100,28,0.746110857
100,29,0.748361691
100,30,0.744429776
200,0,0.000324455
200,1,0.813628809
200,2,1.13204743
200,3,1.281303923
200,4,1.33467408
200,5,1.373647175
200,6,1.399857914
200,7,1.403246194
200,8,1.417947684
200,9,1.41895902
200,10,1.444341012
200,11,1.423856008
200,12,1.445775943
200,13,1.445888567
200,14,1.445586583
200,15,1.446011835
200,16,1.439155208
200,17,1.453145518
200,18,1.446072132
200,19,1.438187856
200,20,1.442872359
200,21,1.448463373
200,22,1.436883797
200,23,1.433205471
200,24,1.448677711
200,25,1.443397226
200,26,1.443220688
200,27,1.43571189
200,28,1.438144827
200,29,1.437085026
200,30,1.440714091
255.6,0,0.000324455
255.6,1,1.031028525
255.6,2,1.440667134
255.6,3,1.624205166
255.6,4,1.698491382
255.6,5,1.754049885
255.6,6,1.765476371
255.6,7,1.782292879
255.6,8,1.810160954
255.6,9,1.803100033
255.6,10,1.816530101
255.6,11,1.819770187
255.6,12,1.81574438
255.6,13,1.820160276
255.6,14,1.823505193
255.6,15,1.811170714
255.6,16,1.827136215
255.6,17,1.823138495
255.6,18,1.805442134
255.6,19,1.826821604
255.6,20,1.806781474
255.6,21,1.810514285
255.6,22,1.809375224
255.6,23,1.805245778
255.6,24,1.81763626
255.6,25,1.799106607
255.6,26,1.832706614
255.6,27,1.801874979
255.6,28,1.803846457
255.6,29,1.787851985
255.6,30,1.791925236
300,0,0.000324455
300,1,1.203997378
300,2,1.690850471
300,3,1.883765495
300,4,1.990289059
300,5,2.031771526
300,6,2.06196948
300,7,2.090560564
300,8,2.101904384
300,9,2.107130555
300,10,2.112804143
300,11,2.111169849
300,12,2.116340712
300,13,2.100990482
300,14,2.115803591
300,15,2.095505726
300,16,2.115916975
300,17,2.101811216
300,18,2.10477339
300,19,2.094521195
300,20,2.101003448
300,21,2.088983831
300,22,2.119259131
300,23,2.088868161
300,24,2.094680602
300,25,2.066287161
300,26,2.078683471
300,27,2.077432684
300,28,2.060949453
300,29,2.067010269
300,30,2.04856523
400,0,0.000324455
400,1,1.596346311
400,2,2.227388556
400,3,2.497399966
400,4,2.611493404
400,5,2.686055079
400,6,2.707517179
400,7,2.724551792
400,8,2.728798168
400,9,2.74180274
400,10,2.738035848
400,11,2.729765602
400,12,2.737321766
400,13,2.727438096
400,14,2.716337417
400,15,2.714582598
400,16,2.702668665
400,17,2.725537112
400,18,2.698584049
400,19,2.667984601
400,20,2.694646047
400,21,2.661599958
400,22,2.651893349
400,23,2.666237385
400,24,2.641631759
400,25,2.647314397
400,26,2.635117742
400,27,2.64271802
400,28,2.6395548
400,29,2.637311745
400,30,2.640391151
500,0,0.000324455
500,1,1.983994218
500,2,2.756228977
500,3,3.065752368
500,4,3.223162908
500,5,3.272801343
500,6,3.297880692
500,7,3.309270596
500,8,3.309351467
500,9,3.292821931
500,10,3.301540434
500,11,3.293217087
500,12,3.282448383
500,13,3.272151285
500,14,3.242126508
500,15,3.238756505
500,16,3.251989779
500,17,3.208909943
500,18,3.191895807
500,19,3.195319058
500,20,3.189492646
500,21,3.193025284
500,22,3.191839969
500,23,3.177638944
500,24,3.180091906
500,25,3.168598361
500,26,3.163010589
500,27,3.16677923
500,28,3.185214384
500,29,3.194248314
500,30,3.1889916
600,0,0.000324455
600,1,2.371890548
600,2,3.263983549
600,3,3.612537711
600,4,3.769587699
600,5,3.818837812
600,6,3.835966131
600,7,3.837440389
600,8,3.826687072
600,9,3.811328359
600,10,3.796177941
600,11,3.79507828
600,12,3.750454026
600,13,3.725109152
600,14,3.711052438
600,15,3.688156119
600,16,3.678071434
600,17,3.676469075
600,18,3.679699421
600,19,3.673574022
600,20,3.669847064
600,21,3.657894545
600,22,3.652968198
600,23,3.667930985
600,24,3.669100553
600,25,3.677209485
600,26,3.695235087
600,27,3.695390198
600,28,3.700733197
600,29,3.747825136
600,30,3.71763187
