AG [mm],RPM [rpm],Time [ms],brake [NewtonMeter],,,»~®t
0,100,0,0.000324455,,,
0,100,1,0.413605489,,,
0,100,2,0.577686624,,,
0,100,3,0.644313948,,,
0,100,4,0.678774652,,,
0,100,5,0.696627881,,,
0,100,6,0.709337747,,,
0,100,7,0.721663831,,,
0,100,8,0.706026362,,,
0,100,9,0.711647204,,,
0,100,10,0.722209789,,,
0,100,11,0.726899297,,,
0,100,12,0.736722529,,,
0,100,13,0.741659617,,,
0,100,14,0.729029262,,,
0,100,15,0.733371485,,,
0,100,16,0.73860936,,,
0,100,17,0.732823988,,,
0,100,18,0.732055492,,,
0,100,19,0.746353255,,,
0,100,20,0.753542315,,,
0,100,21,0.744149018,,,
0,100,22,0.730750952,,,
0,100,23,0.74181618,,,
0,100,24,0.748806574,,,
0,100,25,0.747773564,0.746773554,0.719006592,0.038618508
0,100,26,0.748249785,,,
0,100,27,0.745715652,,,
0,100,28,0.746110857,,,
0,100,29,0.748361691,,,
0,100,30,0.744429776,,,
0,150,0,0.000324455,,,
0,150,1,0.615723114,,,
0,150,2,0.852593386,,,
0,150,3,0.958990175,,,
0,150,4,1.017148687,,,
0,150,5,1.043648283,,,
0,150,6,1.041622409,,,
0,150,7,1.058342522,,,
0,150,8,1.075697599,,,
0,150,9,1.078226407,,,
0,150,10,1.077848044,,,
0,150,11,1.085135856,,,
0,150,12,1.082751994,,,
0,150,13,1.105142879,,,
0,150,14,1.098783532,,,
0,150,15,1.087659374,,,
0,150,16,1.104529898,,,
0,150,17,1.100156339,,,
0,150,18,1.102959575,,,
0,150,19,1.105300259,,,
0,150,20,1.101689541,,,
0,150,21,1.092323787,,,
0,150,22,1.098704325,,,
0,150,23,1.104402771,,,
0,150,24,1.096899022,,,
0,150,25,1.094052365,1.092886673,1.07787463,
0,150,26,1.082333443,,,
0,150,27,1.100707862,,,
0,150,28,1.10057815,,,
0,150,29,1.098916445,,,
0,150,30,1.080731773,,,
0,200,0,0.000324455,,,
0,200,1,0.813628809,,,
0,200,2,1.13204743,,,
0,200,3,1.281303923,,,
0,200,4,1.33467408,,,
0,200,5,1.373647175,,,
0,200,6,1.399857914,,,
0,200,7,1.403246194,,,
0,200,8,1.417947684,,,
0,200,9,1.41895902,,,
0,200,10,1.444341012,,,
0,200,11,1.423856008,,,
0,200,12,1.445775943,,,
0,200,13,1.445888567,,,
0,200,14,1.445586583,,,
0,200,15,1.446011835,,,
0,200,16,1.439155208,,,
0,200,17,1.453145518,,,
0,200,18,1.446072132,,,
0,200,19,1.438187856,,,
0,200,20,1.442872359,,,
0,200,21,1.448463373,,,
0,200,22,1.436883797,,,
0,200,23,1.433205471,,,
0,200,24,1.448677711,,,
0,200,25,1.443397226,1.439712291,1.435982225,
0,200,26,1.443220688,,,
0,200,27,1.43571189,,,
0,200,28,1.438144827,,,
0,200,29,1.437085026,,,
0,200,30,1.440714091,,,
0,250,0,0.000324455,,,
0,250,1,1.009148024,,,
0,250,2,1.409367055,,,
0,250,3,1.594161903,,,
0,250,4,1.663001389,,,
0,250,5,1.715328446,,,
0,250,6,1.727706185,,,
0,250,7,1.744204694,,,
0,250,8,1.774163116,,,
0,250,9,1.758584014,,,
0,250,10,1.780816028,,,
0,250,11,1.780632848,,,
0,250,12,1.785283769,,,
0,250,13,1.779749177,,,
0,250,14,1.787484847,,,
0,250,15,1.781366651,,,
0,250,16,1.780926895,,,
0,250,17,1.785972152,,,
0,250,18,1.765607876,,,
0,250,19,1.782917674,,,
0,250,20,1.783815755,,,
0,250,21,1.780515259,,,
0,250,22,1.774210246,,,
0,250,23,1.770313653,,,
0,250,24,1.774681979,,,
0,250,25,1.766924058,1.767108075,1.793078998,
0,250,26,1.773808912,,,
0,250,27,1.79289055,,,
0,250,28,1.750026429,,,
0,250,29,1.769902827,,,
0,250,30,1.749095672,,,
0,255.6,0,0.000324455,,,
0,255.6,1,1.031028525,,,
0,255.6,2,1.440667134,,,
0,255.6,3,1.624205166,,,
0,255.6,4,1.698491382,,,
0,255.6,5,1.754049885,,,
0,255.6,6,1.765476371,,,
0,255.6,7,1.782292879,,,
0,255.6,8,1.810160954,,,
0,255.6,9,1.803100033,,,
0,255.6,10,1.816530101,,,
0,255.6,11,1.819770187,,,
0,255.6,12,1.81574438,,,
0,255.6,13,1.820160276,,,
0,255.6,14,1.823505193,,,
0,255.6,15,1.811170714,,,
0,255.6,16,1.827136215,,,
0,255.6,17,1.823138495,,,
0,255.6,18,1.805442134,,,
0,255.6,19,1.826821604,,,
0,255.6,20,1.806781474,,,
0,255.6,21,1.810514285,,,
0,255.6,22,1.809375224,,,
0,255.6,23,1.805245778,,,
0,255.6,24,1.81763626,,,
0,255.6,25,1.799106607,1.802885313,1.833,
0,255.6,26,1.832706614,,,
0,255.6,27,1.801874979,,,
0,255.6,28,1.803846457,,,
0,255.6,29,1.787851985,,,
0,255.6,30,1.791925236,,,
0,300,0,0.000324455,,,
0,300,1,1.203997378,,,
0,300,2,1.690850471,,,
0,300,3,1.883765495,,,
0,300,4,1.990289059,,,
0,300,5,2.031771526,,,
0,300,6,2.06196948,,,
0,300,7,2.090560564,,,
0,300,8,2.101904384,,,
0,300,9,2.107130555,,,
0,300,10,2.112804143,,,
0,300,11,2.111169849,,,
0,300,12,2.116340712,,,
0,300,13,2.100990482,,,
0,300,14,2.115803591,,,
0,300,15,2.095505726,,,
0,300,16,2.115916975,,,
0,300,17,2.101811216,,,
0,300,18,2.10477339,,,
0,300,19,2.094521195,,,
0,300,20,2.101003448,,,
0,300,21,2.088983831,,,
0,300,22,2.119259131,,,
0,300,23,2.088868161,,,
0,300,24,2.094680602,,,
0,300,25,2.066287161,2.066488045,2.148917203,
0,300,26,2.078683471,,,
0,300,27,2.077432684,,,
0,300,28,2.060949453,,,
0,300,29,2.067010269,,,
0,300,30,2.04856523,,,
0,350,0,0.000324455,,,
0,350,1,1.399873579,,,
0,350,2,1.975594812,,,
0,350,3,2.19184506,,,
0,350,4,2.299152039,,,
0,350,5,2.353979296,,,
0,350,6,2.396553111,,,
0,350,7,2.41575109,,,
0,350,8,2.42517463,,,
0,350,9,2.423246632,,,
0,350,10,2.433416091,,,
0,350,11,2.420058637,,,
0,350,12,2.434266458,,,
0,350,13,2.413247317,,,
0,350,14,2.435920464,,,
0,350,15,2.416295099,,,
0,350,16,2.410875275,,,
0,350,17,2.409329812,,,
0,350,18,2.402435549,,,
0,350,19,2.429659742,,,
0,350,20,2.38140108,,,
0,350,21,2.39023348,,,
0,350,22,2.388215706,,,
0,350,23,2.396351868,,,
