"RPM [rpm]","Time [ms]","brake [NewtonMeter]"
100,0,-0.000400613661599654
100,1,0.436394693764307
100,2,0.590870355593026
100,3,0.661008995879372
100,4,0.678038417732258
100,5,0.694065949545577
100,6,0.70014393134158
100,7,0.70433908510356
100,8,0.709368531163706
100,9,0.708365722130491
100,10,0.714197527035299
100,11,0.71480103304579
100,12,0.718983207241831
100,13,0.723255294469583
100,14,0.727744347639969
100,15,0.723570140454009
100,16,0.72653836650865
100,17,0.729507384451857
100,18,0.722401339615079
100,19,0.72847707675099
100,20,0.733799966347852
100,21,0.728719338626701
100,22,0.731549346747011
100,23,0.732220100600915
100,24,0.734583178840117
100,25,0.729857426425983
100,26,0.731418580394223
100,27,0.728344338797753
100,28,0.733192665794337
100,29,0.731140625935823
100,30,0.727035574837908
150,0,-0.000400613661599793
150,1,0.65010130052036
150,2,0.890397090485245
150,3,0.972442124196745
150,4,1.01476864522651
150,5,1.03321277597518
150,6,1.03995708421157
150,7,1.04961499074192
150,8,1.05627633552842
150,9,1.06503292849707
150,10,1.06667203574715
150,11,1.07454632823416
150,12,1.06761625307453
150,13,1.07720712798782
150,14,1.07518599107043
150,15,1.07762679961901
150,16,1.08129754942278
150,17,1.07853602945056
150,18,1.07601325095233
150,19,1.08019801644257
150,20,1.07374453369503
150,21,1.07326735225398
150,22,1.07674766663238
150,23,1.0777599810605
150,24,1.06823880499147
150,25,1.07263503250706
150,26,1.07267035547528
150,27,1.0739961777757
150,28,1.07585116962705
150,29,1.0708260167858
150,30,1.07524892903776
200,0,0.000605634901735705
200,1,0.865348230724642
200,2,1.16879586918268
200,3,1.29229567203639
200,4,1.34341202804529
200,5,1.35744530822852
200,6,1.38068789604065
200,7,1.39368904554987
200,8,1.39633659419024
200,9,1.40208173667086
200,10,1.40457032551554
200,11,1.40707719052713
200,12,1.41655164790007
200,13,1.41189236228961
200,14,1.41192659158774
200,15,1.41162774859244
200,16,1.41505525022224
200,17,1.41561755723657
200,18,1.41187547819206
200,19,1.40835060788149
200,20,1.41355831781894
200,21,1.40243631365772
200,22,1.40539733301787
200,23,1.40326418473359
200,24,1.39975968227225
200,25,1.40413617034383
200,26,1.39824310884973
200,27,1.39782428736127
200,28,1.39011945049971
200,29,1.39049438888422
200,30,1.39400030575377
250,0,-0.000400613661599698
250,1,1.07874926825714
250,2,1.46240730959374
250,3,1.6095860767362
250,4,1.66646066516622
250,5,1.69888569761108
250,6,1.71643884517691
250,7,1.72763645408917
250,8,1.73672437606625
250,9,1.73722066823746
250,10,1.7430579033029
250,11,1.74390064889091
250,12,1.74028175450066
250,13,1.74392530361244
250,14,1.74175081567619
250,15,1.73916967845102
250,16,1.74068671516098
250,17,1.74004450822087
250,18,1.73872374243482
250,19,1.73126014104368
250,20,1.732867576087
250,21,1.73130571603078
250,22,1.7187422049636
250,23,1.7194462075601
250,24,1.72180987845149
250,25,1.710172148064
250,26,1.7046084753191
250,27,1.70438664357446
250,28,1.70927042381217
250,29,1.7022800898342
250,30,1.70185528837343
255.6,0,-0.000400613661599708
255.6,1,1.10285699629746
255.6,2,1.49468135717634
255.6,3,1.64459160564607
255.6,4,1.70166604904055
255.6,5,1.73603792705754
255.6,6,1.75248865979352
255.6,7,1.76216718135974
255.6,8,1.77427853792962
255.6,9,1.77519933343523
255.6,10,1.78104671849075
255.6,11,1.78141287733346
255.6,12,1.77574599567601
255.6,13,1.77663942935489
255.6,14,1.77204306975178
255.6,15,1.7733599106466
255.6,16,1.77495043984043
255.6,17,1.77409763189227
255.6,18,1.77203694409447
255.6,19,1.77123925461842
255.6,20,1.76788021395248
255.6,21,1.76062145680969
255.6,22,1.75270231215119
255.6,23,1.75798588718675
255.6,24,1.74758420970411
255.6,25,1.74732007558145
255.6,26,1.74167128749325
255.6,27,1.73634162647304
255.6,28,1.73958921888852
255.6,29,1.74522805869441
255.6,30,1.73478204505861
300,0,0.000605634901735974
300,1,1.28976761662157
300,2,1.7454375667583
300,3,1.9116195409574
300,4,1.98439855025099
300,5,2.01934036130317
300,6,2.03578307893222
300,7,2.04501729722528
300,8,2.05583866792414
300,9,2.05305535360275
300,10,2.05702262449414
300,11,2.05704867987713
300,12,2.05986732243728
300,13,2.05181424000423
300,14,2.04756678284378
300,15,2.0469739703089
300,16,2.03932363065198
300,17,2.03998766576633
300,18,2.03417465448534
300,19,2.02549307771859
300,20,2.02596593198309
300,21,2.00570685226552
300,22,2.01301460498845
300,23,1.9999302168791
300,24,2.00266479087457
300,25,2.00576054349577
300,26,1.9965745319128
300,27,1.9954459374571
300,28,2.00036949253368
300,29,2.00886040333601
300,30,1.99238848572786
350,0,-0.000400613661599639
350,1,1.50660001294347
350,2,2.02785120027577
350,3,2.21697779910845
350,4,2.30324811950824
350,5,2.33495240301018
350,6,2.35247646810831
350,7,2.36648451543325
350,8,2.36981471377103
350,9,2.36457625024852
350,10,2.36782155429419
350,11,2.36172521088433
350,12,2.36626498545843
350,13,2.36008023346851
350,14,2.35477220213681
350,15,2.34813137830575
350,16,2.33017019484871
350,17,2.33683074433548
350,18,2.32231493240413
350,19,2.31517939298119
350,20,2.31146499071406
350,21,2.31436051562858
350,22,2.30352238812664
350,23,2.30392356389112
350,24,2.29768510536263
350,25,2.29415047583893
350,26,2.28904121838193
350,27,2.28405210637011
350,28,2.29841021472074
350,29,2.29402529246412
350,30,2.29425122993424
400,0,-0.000400613661599809
400,1,1.70842471953614
400,2,2.30621607630165
400,3,2.5139106273829
400,4,2.60193693056996
400,5,2.64119939074238
400,6,2.65629495789593
400,7,2.66226938442032
400,8,2.66086156499787
400,9,2.65387028796368
400,10,2.65625261491537
400,11,2.65127516232786
400,12,2.64354403701405
400,13,2.63933239871543
400,14,2.62167028940358
400,15,2.62302684565754
400,16,2.60539264866916
400,17,2.59107059751632
400,18,2.59700544059267
400,19,2.58624304700012
400,20,2.59158126908496
400,21,2.58218471176677
400,22,2.5784002049757
400,23,2.56892521504708
400,24,2.57108304777825
400,25,2.57750895181551
400,26,2.57677732550916
400,27,2.57337381504771
400,28,2.57833649799851
400,29,2.58038136723523
400,30,2.58143160672263
450,0,-0.000400613661599684
450,1,1.91412090712974
450,2,2.56951424866225
450,3,2.80466248645143
450,4,2.89001554467062
450,5,2.92967336829291
450,6,2.94347533131281
450,7,2.94222127585493
450,8,2.93610918682963
450,9,2.93602223572501
450,10,2.9342133361767
450,11,2.92113655621458
450,12,2.90445074027304
450,13,2.89476579841541
450,14,2.8828441465027
450,15,2.86860160184653
450,16,2.8694437920369
450,17,2.86052805492633
450,18,2.86264216258273
450,19,2.85372072255638
450,20,2.84136598663921
450,21,2.83888446896982
450,22,2.85247051235504
450,23,2.85062609460008
450,24,2.84581187028084
450,25,2.85105946642877
450,26,2.85781996821413
450,27,2.86170404650662
450,28,2.86649562692821
450,29,2.87294269797883
450,30,2.87005510425525
500,0,-0.000400613661599653
500,1,2.1213039835282
500,2,2.83091672974119
500,3,3.08088368806853
500,4,3.17756594861697
500,5,3.20551393111663
500,6,3.21030099942394
500,7,3.2129818334632
500,8,3.20621579903222
500,9,3.20022969201949
500,10,3.18474564418864
500,11,3.16419618099869
500,12,3.1554093424877
500,13,3.1296263687066
500,14,3.12649514894921
500,15,3.1193855727745
500,16,3.11667284150317
500,17,3.11132411081846
500,18,3.09572120002749
500,19,3.09754225650188
500,20,3.10313927544752
500,21,3.10220955616664
500,22,3.10402634141514
500,23,3.10934587766875
500,24,3.10787859052787
500,25,3.12226948348225
500,26,3.13119751339658
500,27,3.12803153315182
500,28,3.14057051351111
500,29,3.14010452754401
500,30,3.13789591650467
550,0,-0.000400613661599805
550,1,2.32576726213171
550,2,3.08352397761309
550,3,3.35487737244742
550,4,3.43855256010037
550,5,3.46831786470083
550,6,3.46821607502752
550,7,3.45783380065187
550,8,3.45143506956169
550,9,3.43680688872478
550,10,3.41208033398407
550,11,3.39492376344299
550,12,3.37728762678972
550,13,3.36315009282872
550,14,3.35850604630893
550,15,3.3579875467621
550,16,3.34514254421076
550,17,3.33593352610349
550,18,3.34972735740833
550,19,3.34601851489319
550,20,3.34671441659426
550,21,3.3515370272926
550,22,3.35759520968956
550,23,3.36799973753826
550,24,3.3773263412512
550,25,3.37929433905461
550,26,3.38546181865219
550,27,3.38125214487451
550,28,3.38264185256227
550,29,3.37738018069048
550,30,3.38188961987731
576,0,-0.000400613661599782
576,1,2.43098725443947
576,2,3.21578822749303
576,3,3.48879122707121
576,4,3.57320431492265
576,5,3.59822514647383
576,6,3.59782129223359
576,7,3.58397874553885
576,8,3.57161519662424
576,9,3.55545475660465
576,10,3.52679339556793
576,11,3.50869670513239
576,12,3.48810495513418
576,13,3.4827403493568
576,14,3.47803746566289
576,15,3.4700869218647
576,16,3.4574539574907
576,17,3.46616391945854
576,18,3.46924384045843
576,19,3.47290157971548
576,20,3.47619021470008
576,21,3.47915608571722
576,22,3.48961332578957
576,23,3.5012535051819
576,24,3.50110733880492
576,25,3.51173364304067
576,26,3.50325108257401
576,27,3.50732730825709
576,28,3.5062421046051
576,29,3.50095984936121
576,30,3.49966652554314
