AG [mm],RPM [rpm],Time [ms],brake [NewtonMeter]
3.934383552,100,0,0.00424304
3.934383552,100,1,1.59622471
3.934383552,100,2,2.379321939
3.934383552,100,3,2.819293476
3.934383552,100,4,3.112731738
3.934383552,100,5,3.32649737
3.934383552,100,6,3.417156045
3.934383552,100,7,3.496121138
3.934383552,100,8,3.554566531
3.934383552,100,9,3.569298585
3.934383552,100,10,3.549879935
3.934383552,100,11,3.56123856
3.934383552,100,12,3.619095401
3.934383552,100,13,3.670779598
3.934383552,100,14,3.696839664
3.934383552,100,15,3.689683985
3.934383552,100,16,3.672933672
3.934383552,100,17,3.707923281
3.934383552,100,18,3.740051594
3.934383552,100,19,3.764900834
3.934383552,100,20,3.779397931
3.934383552,100,21,3.76999178
3.934383552,100,22,3.778482755
3.934383552,100,23,3.776151239
3.934383552,100,24,3.788202092
3.934383552,100,25,3.796988289
3.934383552,100,26,3.763497646
3.934383552,100,27,3.743819579
3.934383552,100,28,3.739434981
3.934383552,100,29,3.77377885
3.934383552,100,30,3.813668573
3.934383552,150,0,0.00424304
3.934383552,150,1,2.383297434
3.934383552,150,2,3.548514306
3.934383552,150,3,4.27020752
3.934383552,150,4,4.668182112
3.934383552,150,5,4.92963861
3.934383552,150,6,5.06524853
3.934383552,150,7,5.08904892
3.934383552,150,8,5.214814687
3.934383552,150,9,5.326597099
3.934383552,150,10,5.359739355
3.934383552,150,11,5.366949328
3.934383552,150,12,5.442519728
3.934383552,150,13,5.497785136
3.934383552,150,14,5.503610652
3.934383552,150,15,5.524126597
3.934383552,150,16,5.537029545
3.934383552,150,17,5.54860167
3.934383552,150,18,5.507751608
3.934383552,150,19,5.519523094
3.934383552,150,20,5.578343806
3.934383552,150,21,5.583225292
3.934383552,150,22,5.565023094
3.934383552,150,23,5.559959377
3.934383552,150,24,5.580289259
3.934383552,150,25,5.560403553
3.934383552,150,26,5.542012331
3.934383552,150,27,5.513857492
3.934383552,150,28,5.533886405
3.934383552,150,29,5.56461736
3.934383552,150,30,5.600940378
3.934383552,200,0,0.00424304
3.934383552,200,1,3.160619027
3.934383552,200,2,4.732554033
3.934383552,200,3,5.654309277
3.934383552,200,4,6.197664145
3.934383552,200,5,6.432531664
3.934383552,200,6,6.647849485
3.934383552,200,7,6.854354719
3.934383552,200,8,6.918906496
3.934383552,200,9,7.039520228
3.934383552,200,10,7.129614953
3.934383552,200,11,7.162613753
3.934383552,200,12,7.199663996
3.934383552,200,13,7.207264177
3.934383552,200,14,7.191016742
3.934383552,200,15,7.26500834
3.934383552,200,16,7.270955221
3.934383552,200,17,7.252290632
3.934383552,200,18,7.271832153
3.934383552,200,19,7.251336688
3.934383552,200,20,7.223005639
3.934383552,200,21,7.228317172
3.934383552,200,22,7.267293941
3.934383552,200,23,7.320367016
3.934383552,200,24,7.300884284
3.934383552,200,25,7.251467997
3.934383552,200,26,7.265246544
3.934383552,200,27,7.218714153
3.934383552,200,28,7.202089297
3.934383552,200,29,7.222643127
3.934383552,200,30,7.204367531
3.934383552,250,0,0.00424304
3.934383552,250,1,3.934556477
3.934383552,250,2,5.93687171
3.934383552,250,3,7.027604417
3.934383552,250,4,7.57821086
3.934383552,250,5,7.993345878
3.934383552,250,6,8.289210237
3.934383552,250,7,8.4634893
3.934383552,250,8,8.628229245
3.934383552,250,9,8.708063196
3.934383552,250,10,8.778600419
3.934383552,250,11,8.758628315
3.934383552,250,12,8.846749375
3.934383552,250,13,8.856523594
3.934383552,250,14,8.846462045
3.934383552,250,15,8.857824825
3.934383552,250,16,8.828378156
3.934383552,250,17,8.824851391
3.934383552,250,18,8.885476902
3.934383552,250,19,8.893009743
3.934383552,250,20,8.851086354
3.934383552,250,21,8.86182789
3.934383552,250,22,8.783188009
3.934383552,250,23,8.801175975
3.934383552,250,24,8.778975364
3.934383552,250,25,8.782763798
3.934383552,250,26,8.783778238
3.934383552,250,27,8.729642797
3.934383552,250,28,8.774792236
3.934383552,250,29,8.757452372
3.934383552,250,30,8.693012909
3.934383552,300,0,0.00424304
3.934383552,300,1,4.70765255
3.934383552,300,2,7.079060777
3.934383552,300,3,8.352064896
3.934383552,300,4,9.020106172
3.934383552,300,5,9.538023109
3.934383552,300,6,9.839789605
3.934383552,300,7,10.05838995
3.934383552,300,8,10.19760735
3.934383552,300,9,10.23865137
3.934383552,300,10,10.33163597
3.934383552,300,11,10.35074695
3.934383552,300,12,10.36059899
3.934383552,300,13,10.34742219
3.934383552,300,14,10.33388921
3.934383552,300,15,10.38106694
3.934383552,300,16,10.39628467
3.934383552,300,17,10.30616389
3.934383552,300,18,10.30755808
3.934383552,300,19,10.27524462
3.934383552,300,20,10.24888855
3.934383552,300,21,10.2488683
3.934383552,300,22,10.22705271
3.934383552,300,23,10.19413461
3.934383552,300,24,10.21989983
3.934383552,300,25,10.14209555
3.934383552,300,26,10.17070963
3.934383552,300,27,10.18506835
3.934383552,300,28,10.20610395
3.934383552,300,29,10.10168472
